Model,DPO4034
Firmware Version,2.58

Waveform Type,Analog,Analog,Analog,Analog
Point Format,ENV,,,
Horizontal Units,s,,,
Horizontal Scale,100,,,
Horizontal Delay,0,0,0,0
Sample Interval,0.01,,,
Record Length,100000,,,
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1,1,1
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,2,2,2,2
Vertical Position,0,2.04,-2.02,-4.02
Label,,,,
TIME,CH1,CH2,CH3,CH4
-4.97860e+02,0.08,-0.72,-0.2,1.08
-4.97850e+02,1.28,-0.48,-0.76,0.92
-4.97840e+02,0.24,-0.48,-0.04,0.92
-4.97830e+02,0.96,-0.8,-0.04,1
-4.97820e+02,0.96,-0.8,-0.04,1.08
-4.97810e+02,0.64,-0.4,-0.36,0.84
-4.97800e+02,0.08,0.08,-0.04,0.76
-4.97790e+02,-0.08,-0.72,-0.12,0.76
-4.97780e+02,-0.08,0,-0.04,0.76
-4.97770e+02,0,0.24,-0.44,0.68
-4.97760e+02,-0.56,-0.24,0.52,0.76
-4.97750e+02,-0.16,-0.08,-0.12,1.08
-4.97740e+02,-0.08,1.36,-0.52,0.76
-4.97730e+02,-1.36,2,-0.52,0.84
-4.97720e+02,-1.44,1.52,0.12,0.84
-4.97710e+02,-0.48,1.04,-0.12,0.6
-4.97700e+02,0.48,0.24,-0.12,0.44
-4.97690e+02,0.64,0.08,-0.12,0.6
-4.97680e+02,-0.64,0.8,-0.2,0.68
-4.97670e+02,-0.4,-0.16,-0.68,1.08
-4.97660e+02,-0.72,-0.08,-0.12,1.16
-4.97650e+02,0,0.24,0.04,0.92
-4.97640e+02,-0.24,-0.08,0.68,1.16
-4.97630e+02,-0.56,0.64,1,1.16
-4.97620e+02,0,0.08,0.92,0.68
-4.97610e+02,-0.16,0.88,1.08,0.68
-4.97600e+02,0.48,0.4,1.16,0.92
-4.97590e+02,0.08,0.8,1.4,0.76
-4.97580e+02,0.16,0.24,1.32,1.08
-4.97570e+02,-0.08,-0.32,0.68,1.24
-4.97560e+02,0.64,-0.08,0.6,0.6
-4.97550e+02,0.24,-0.56,0.12,0.92
-4.97540e+02,1.04,0.72,1.56,0.52
-4.97530e+02,0.72,0.88,1.08,0.52
-4.97520e+02,0.4,0.88,0.84,0.52
-4.97510e+02,0.72,0.08,0.84,0.44
-4.97500e+02,0.4,-0.88,0.76,0.68
-4.97490e+02,0.16,-0.64,0.2,0.68
-4.97480e+02,0.32,-0.88,-0.92,0.76
-4.97470e+02,-0.16,-0.48,-1,0.76
-4.97460e+02,0.32,0,-1.56,0.28
-4.97450e+02,-0.08,0.24,-1.56,0.44
-4.97440e+02,-0.32,-0.16,-0.76,0.44
-4.97430e+02,0.16,-0.16,-0.92,-0.04
-4.97420e+02,0.64,-0.16,-0.84,0.04
-4.97410e+02,-0.32,-6,-0.76,0.68
-4.97400e+02,-0.16,-4.24,-0.84,0.28
-4.97390e+02,-0.24,inf,-1.08,0.52
-4.97380e+02,-0.96,inf,-0.04,1.24
-4.97370e+02,-1.2,1.76,0.76,1.08
-4.97360e+02,-2.32,-7.12,0.36,1
-4.97350e+02,-1.44,-4.24,0.68,0.52
-4.97340e+02,0.16,-1.52,1.88,0.44
-4.97330e+02,0.48,-1.04,1.64,0.04
-4.97320e+02,0,0,1.48,-0.28
-4.97310e+02,-0.32,0.24,1.48,-0.36
-4.97300e+02,-0.16,-0.24,1.24,-0.28
-4.97290e+02,-0.88,-1.36,1,0.92
-4.97280e+02,-0.48,-0.4,0.76,0.92
-4.97270e+02,-0.64,0,1.16,1.4
-4.97260e+02,-1.12,-0.08,1.4,0.84
-4.97250e+02,-1.04,-0.56,0.6,0.92
-4.97240e+02,-0.32,-0.56,0.6,0.52
-4.97230e+02,-0.08,-1.12,0.36,0.04
-4.97220e+02,-0.08,-0.88,0.2,-0.28
-4.97210e+02,0.48,-0.32,-0.52,-0.12
-4.97200e+02,0.72,-0.48,-0.68,-0.44
-4.97190e+02,0.16,-0.4,0.6,0.2
